Index,question,PMBOK_Area_1,PMBOK_Area_2,PMBOK_Area_3,ProcessGroup,Technical vs Managerial,Knowledge vs Scenario
3055,"What is the process of schedule management with clients who aren't very responsive? Here's the scenario: The main point of contact was fairly active up until the project came close to the launch date. At that point, the client started to miss the dates for requirements that were needed for the next set of tasks. What is the process for managing the schedule in this case? Say, to do X, we need Y. Client needs to provide Y on Jan 15. What does the PM do on Jan 16 assuming Y was not provided the day earlier? Going forward, would communication issues like these go into the Risk Register?",sch,sta,-,e,1,1
2520,"Is there a way to use your customized fields in reports created in MS project 2013? I have some customized fields that I've created. I really need to find a way to use them while I'm creating customized reports in MS project, but I just see the built-in fields when I want to create the reports. Any help is greatly appreciated! Thanks!",NA,-,-,NA,0,-1
913,"What is needed to become a robotic team/startup leader? Let's consider we want to create a complete robot like Nao(or even ASIMO), that has intelligence(machine vision, speech recognition), and robust electronics/mechanics parts. And we know each of these fields are a special expertise. Even I think in AI field for example, machine vision and speech recognition are two separate professions! So, maybe it's impossible to consider someone is expert in all of them! It seems a person can only be an expert in only one of them(maybe two?!). MY MAIN QUESTION: Considering what I said above, WHO CAN BECOME A LEADER OF A TEAM/STARTUP TO BUILD SUCH GREAT ROBOT? I mean what knowledge/skills should he/she has? Also, what is the least team member requirements to create such product? I mean what people with what knowledge/skills are needed to become a part of that team?",int,-,-,i,1,1
1442,"Handling architectural problems down the line What do you do when you get X months into a project which is using Scrum and either a story, a developer, a review or planning session makes it clear that a serious architectural problem is evident, which was not evident at the start of the project? Ignoring why it is so, whose fault it is or the reason the current architecture was chosen.",int,res,-,e,1,1
1965,"Should a team estimate tasks based on the executor's capacity or on the team average? My team is adopting Scrum. When estimating story points for a backlog item, we use planning poker to reflect the team's average vision of the story's complexity. When estimating task hours within a story, should we plan based on the capacity of the person executing the task or on the team's average capacity? What happens if someone who is slower assumes that task? Should we then re-estimate the remaining work?",res,sch,-,p,1,0
1052,"Should we create an Epic for tech-debts I was having a discussion in the team to create an Epic for all the technical-debts in the project. The problem is, as per definition Epic should not spawn more than a quarter, but, if we create an Epic for technical-debt it may run for the duration of the project. I surfed on Internet but could not find anything. Please help with right Agile guidelines.",cost,int,-,e,1,0
3551,"Agile “user story” for a user-less project Disclaimer: I'm a total agile newbee. As a project manager for a pilot agile project, I am trying to create a rough sketch of my project using agile methodologies, but somehow I am not sure how to do define each Story in the Epic-Story-Task hierarchy, especially given the ""user-story"" approach: As a [user], I'd like to be able to [do that], so that I could [get that]. The problem is, there are no users that I can identify in my project. My project is defined as a communication extension of an existing project, in order to integrate it with a third-party system. A (say) 2-month job which I'd like to divide into (say) 4 or 5 sprints. We need to modify the hardware a bit, then test it at customer's site to see if it will suffice. Then get back to implementing some basic protocols, then test it at customer's site. Implement a bit, do a small release and test it. Seems fit for small agile sprints. But I am unsure how to write the Story-level tasks. I am pretty sure that either I got this whole ""user"" part too strictly, or that I can actually identify users for my stories. I could simply write ""Test different communication options"" as a story, but it surely violates the INVEST mnemonic. What am I doing wrong?",sco,-,-,p,1,1
357,"Priority vs Business Value We use a sort of cruddy old SLDC module in Service Now for keeping track of sprints. It has a field for Story Points and Priority. Priority is 1 - Critical through 5 - Moderate. Does this track with Business Value in the Scrum World? At my previous job, where I was scrummaster and we used paper to track stories (at least during the sprint), I asked the Product Owner to place a number (in the same scale as story points, but I don't think that's essential) on each of the stories he brought with him to sprint planning. Then we did our ROI calculations to prioritize our work. Now, I don't see this ""Priority"" in Service Now being anything but a holdover from people who don't understand or care about Scrum. What is the difference between priority and business value and how can I effectively communicate that we, as a scrum team, need a Product Owner who puts business value on stories?",comm,int,-,p,1,1
958,"How to show slippage in MS Project 2016? Probably a noddy question, but need to ask. I'd like to be able to demonstrate real time slippage on my plan, for remodeling impact purposes. I have both original baseline dates and current dates added to my plan. Is there a way of linking these to show a separate column with real time, total days slippage",sch,-,-,m,0,-1
1599,"pivotal tracker chore: Should chores be estimated or not? To give a background, We are web automobile company having a new and used cars portal, something like autotrader usa We have lots of technical debt pending i.e. moving our pages to new backend technology, updating the versions of various open source modules we have integrated, modularizing the javascript etc. The problem is, should we give points to these or not? Why team wants point for chores: There is a lot of legacy code that team says should now be considered as a feature since the majority of the team members never worked at the time when this legacy code was put to production. They say velocity measures ""how fast team delivers"", why shouldn't we count things like exploring new technology like a unit testing framework or new UI framework like React, upgrading existing software to higher versions, moving to better technology in the team's velocity, isn't these things worthy enough in fast moving technical world? Many times PO suggest to take short cut approach rather than ideal technical approach either due to business pressure or to quickly see the results. If the experiment succeeds,the same thing needs to be done in a proper manner. This is technical debt, why shouldn't we count this in velocity? Automating release process- this does not impact customers life, so it should be chore ideally. But it saves team's time and headache. Why we shouldn't give points to it? Why it shouldn't be given points: I believe if the team is smart enough to pick right chore activities time to time, this would automatically start showing up in velocity in future sprints. For example, if they start using a unit testing framework (done as a chore with no points), in future, there would be fewer bugs and team would be able to deliver more. If a team has to deliver 300 points in next 3 months, and they ask PO for clearing technical debt in the first month, so the team would be delivering 0 points in the first month. But the team should pick stories that would clear all technical hurdles so that team now can deliver 300 points in next 2 months. This would motivate the team to pick the business aligned technical debts and not random stuff to decorate their resume.",sch,-,-,p,1,1
1877,Project Outline I am writing a proposal for my project to create a data warehouse for a company. I came to the question of the Project Outline and I am a bit not sure of what shall I say in regards to this section! Does it mean a summary of the project itself? Any help would be appreciated!,sco,-,-,p,1,0
4468,"Is there a name for this PERT-like project management status chart? I know of a long-standing program where a particular format of project status chart has been in use for more than a decade. It was originally created to status the assembly sequence of a complex device (M) and thus acquired the name ""M"" Assembly Sequence Chart (MASC). Although this chart format has since been re-purposed to status all sorts of projects with complicated dependencies, the acronym has stuck and MASC is all I know it by. Does this type of chart have a common industry name? I'm trying to learn more about it and look for tools to help me create automatically and status them. I know it looks similar to a classic PERT chart, but I see a few key differences and am wondering if these particular specializations are codified in their own variant. For example: The PERT chart focuses on spans, which is useful for generating a schedule and understanding the critical path. The MASC is used once the schedule has been established and is used to show progress against dates. The MASC uses color codes to show progress, rather than schedule data like critical path In practice, when estimated or actual start and finish dates don't line up with the plan the old dates are not removed but struck-through and the new date put above (although this isn't shown in the example).",sch,-,-,p,1,0
